#Library information						Meta-information						Shotgun				mtDNA capture								390k capture										Library assessment		
Library ID	Individual ID	Collaborator Individual ID	Lab	LibraryType	Batch number	Culture ID	Location	Date	Country	Latitude	Longitude	 Reads going into alignment 	 Reads mapping to genome 	 Reads overlapping SNP targets 	Mean read length (dedupped)	 Reads going into alignment 	 Unique reads mapping to mtDNA 	 mt coverage 	C>T substitution rate in first base 	mt haplogroup (for >10x)	 One minus contamination estimate (for >10x)	 One minus contamination estimate (95% CI) (for >10x)	Mean read length (dedupped) (for <10x)	 Reads going into alignment 	 Reads mapping to human genome 	 Reads overlapping SNP targets 	 Unique reads mapping to 390k target 	 C>T substitution rate in first base 	Hits on X chromosome	Hits on Y chromosome	Fraction of SNPs hit at least once	Average target coverage	Mean read length (dedupped)	Overall assessment	Ratio of reads on 390k targets  for 390k capture vs. shotgun experiments	Additional comments
S0412	I0412	Troc5	Adelaide	minus	7	Spain_EN	Els Trocs	5310-5206 calBCE	Spain	42.5	0.5	17109	11061	115	59	91925	60942	212	0.268	N1a1a1	0.994	"[ 0.8950462,0.9989557 ]"	80	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0402	I0104	ESP11	Adelaide	plus	7	Corded_Ware_LN	Esperstedt	2473-2348 calBCE 	Germany	51.42	11.68	1601993	775991	11297	93	89518	68316	209	0.015	U4b1a1a1	0.904	"[ 0.8177389,0.9495856 ]"	93	3943860	3569261	2848603	600775	0.023	920	932	0.71	1.53	94	passed	102	Manual examination indicates that the apparent signal of mt-DNA contamination is driven by reads aligning to nuclear mitochondrial insertions
S0405	I0405	Mina3	Adelaide	minus	7	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	17396	150	0	45	115238	70055	193	0.343	K1a1b1	0.981	"[ 0.9728548,0.9896775 ]"	75	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not considered for 390k (UDG- library)	n/a	..
S0398	I0118	ALB3	Adelaide	plus	7	Alberstedt_LN	Alberstedt	2459-2345 calBCE 	Germany	51.45	11.63	1345830	629309	7331	65	72203	51790	165	0.008	HV6'17	0.764	"[ 0.4696674,0.8996898 ]"	74	16609223	14343419	8861708	2234024	0.029	1664	2	0.91	5.67	65	passed	98	Manual examination indicates that the apparent signal of mt-DNA contamination is driven by reads aligning to nuclear mitochondrial insertions
S0392	I0061	UzOO74	Adelaide	plus	7	Karelia_HG	"Yuzhnyy Oleni Ostrov, Karelia"	5500-5000 BCE	Russia	61.65	35.65	1468298	8246	92	57	83136	63535	143	0.006	C1g	0.806	"[ 0.5474578,0.9139722 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0393	I0061	UzOO74	Adelaide	plus	7	Karelia_HG	"Yuzhnyy Oleni Ostrov, Karelia"	5500-5000 BCE	Russia	61.65	35.65	427066	3142	42	61	103048	81338	125	0.007	C1g	0.541	"[ 0.3159202,0.6990718 ]"	68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0396	I0054	UWS4	Adelaide	plus	7	LBK_EN	Unterwiederstedt	5209-5070 calBCE 	Germany	51.66	11.53	1736722	1158120	15276	97	108350	78092	40.1	0.136	J1c17	0.045	"[ 0.02772478,0.07414589 ]"	79	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0403	I0403	14816EBC	Adelaide	plus	7	..	..	..	..	..	..	290	21	0	25	6521	3645	0.633	n/a	n/a	n/a	n/a	n/a	136067	34564	25411	103	0.002	0	0	0	0	64	clean control	n/a	..
S0415	I0415	ExtractionBlank	Adelaide	minus	7	n/a	n/a	n/a	n/a	n/a	n/a	26	0	0	n/a	9782	1	0.00118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	clean control	n/a	..
S0494	I0413	Troc7	Adelaide	plus	8	Spain_EN	Els Trocs	5177-5068 calBCE	Spain	42.5	0.5	836	116	1	51	263757	190883	583	0.016	V	1	"[ 0.9967428,0.9999728 ]"	84	9850456	8412867	6077777	1370201	0.03	1483	1	0.83	3.48	56	passed	516	..
S0492	I0411	Troc4	Adelaide	plus	8	Spain_EN_relative_of_I0410	Els Trocs	5303-5204 calBCE 	Spain	42.5	0.5	5248	99	1	68	290472	212475	569	0.016	K1a2a	1	"[ 0.9989865,0.9999932 ]"	96	3439054	2553238	2115678	47866	0.04	62	69	0.09	0.12	69	passed	3229	..
S0465	I0102	HAL15	Adelaide	plus	8	LBK_EN	Halberstadt-Sonntagsfeld	5030-4948 calBCE	Germany	51.9	11.05	44829	2347	18	61	261495	207295	559	0.017	N1a1a1a3	1	"[ 0.9979544,0.9999623 ]"	97	239573	122961	101082	40528	0.033	80	97	0.09	0.1	68	failed 390k QC 	1051	..
S0493	I0412	Troc5	Adelaide	plus	8	Spain_EN	Els Trocs	5310-5206 calBCE	Spain	42.5	0.5	45289	28322	240	58	328339	180994	557	0.027	N1a1a1	0.991	"[ 0.9867532,0.9944337 ]"	86	33076655	30261276	21447813	7281837	0.047	1513	1564	0.92	18.49	64	passed	122	..
S0487	I0406	Mina4	Adelaide	plus	8	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	53167	4455	41	57	394486	247185	518	0.028	H1	0.993	"[ 0.9878292,0.9957051 ]"	76	28046100	24763536	19113881	3874362	0.055	1470	1472	0.91	9.84	62	passed	884	..
S0490	I0409	Troc1	Adelaide	plus	8	Spain_EN	Els Trocs	5311-5218 calBCE 	Spain	42.5	0.5	2097	208	1	74	196509	144507	511	0.018	J1c3	1	"[ 0.9987404,0.9999893 ]"	106	4432026	3732670	3290513	312802	0.038	831	1	0.49	0.79	86	passed	1557	..
S0489	I0408	Mina18	Adelaide	plus	8	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	7046	2033	15	55	311789	193512	507	0.025	pre-U5b1i	0.951	"[ 0.9419401,0.9593910 ]"	77	42535191	39072604	28735154	10452103	0.047	1625	2	0.92	26.54	62	passed	317	Manual examination indicates that the apparent signal of mt-DNA contamination is driven by reads aligning to nuclear mitochondrial insertions
S0486	I0405	Mina3	Adelaide	plus	8	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	48777	325	3	57	328899	211762	412	0.028	K1a1b1	0.997	"[ 0.9938944,0.9981828 ]"	78	3562784	2460378	1963897	235655	0.056	353	359	0.38	0.6	58	passed	8962	..
S0488	I0407	Mina6	Adelaide	plus	8	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	1938	118	2	56	178929	118868	357	0.026	K1b1a1	0.998	"[ 0.9957543,0.9990230 ]"	89	5838734	4959613	3889708	981737	0.055	1054	1	0.66	2.49	64	passed	646	..
S0491	I0410	Troc3	Adelaide	plus	8	Spain_EN	Els Trocs	5178-5066 calBCE	Spain	42.5	0.5	2270	848	14	65	284615	178972	347	0.017	pre-T2c1d2	0.992	"[ 0.9873560,0.9945048 ]"	99	9185882	8187153	6415946	1358368	0.03	1172	1176	0.84	3.45	75	passed	113	..
S0485	I0404	Mina2	Adelaide	plus	8	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	39049	57	0	25	274621	182017	310	0.024	J2a1a1	0.985	"[ 0.9801250,0.9886247 ]"	90	547952	256760	222018	13823	0.043	36	20	0.03	0.04	68	failed 390k QC 	n/a	..
S0481	I0174	BAM25	Adelaide	plus	8	Starcevo_EN	"Als—ny_k-B‡tasz_k, M_rn_ki telep"	5710-5530 calBCE 	Hungary	46.2	18.7	36176	2528	30	72	202749	143587	172	0.013	N1a1a1	0.999	"[ 0.9967456,0.9996938 ]"	80	6894689	5953426	5053196	152212	0.034	282	282	0.29	0.39	77	passed	884	..
S0471	I0171	BZH12	Adelaide	plus	8	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2204-2136 calBCE	Germany	51.82	10.91	38329	323	2	35	159729	123040	157	0.048	U5a1a2a	0.999	"[ 0.9969233,0.9999219 ]"	66	5999748	4891892	4129661	107104	0.063	348	0	0.2	0.27	59	passed	13191	..
S0466	I0166	HAL13	Adelaide	plus	8	R_ssen_EN	Halberstadt-Sonntagsfeld	5500-4775 BCE	Germany	51.9	11.05	11376	1802	18	57	182605	141925	140	0.011	V1a	0.99	"[ 0.9849646,0.9941326 ]"	78	158819	28003	7775	5794	0.019	20	0	0.01	0.01	56	failed 390k QC 	31	..
S0467	I0170	OAW1	Adelaide	plus	8	Gatersleben_EN	"Oberwiederstedt, Arschkerbe West"	4475-3950 BCE	Germany	51.66	11.53	26788	565	2	27	183416	135972	73.6	0.013	HV6'17	1	"[ 0.9972561,0.9999743 ]"	60	132297	26362	21558	4509	0.027	23	0	0.01	0.01	67	failed 390k QC 	2183	..
S0482	I0175	BAL16	Adelaide	plus	8	Lengyel_Neolithic	B‡tasz_k-Lajv_rpuszta	4900-4500 BCE	Hungary	46.2	18.7	32300	359	4	72	295339	198499	67.5	0.013	N1a1a1	0.999	"[ 0.9975452,0.9999474 ]"	68	608297	410011	356605	12600	0.034	45	0	0.03	0.03	76	failed 390k QC 	4734	..
S0464	I0101	DEB36	Adelaide	plus	8	LBK_EN	Derenburg-Meerenstieg II	5500-4775 BCE	Germany	51.87	10.9	1887	15	0	50	285187	190767	51.7	0.015	U5a1a	1	"[ 0.9982842,0.9999885 ]"	61	44660	14177	12031	6019	0.037	20	0	0.01	0.02	68	failed 390k QC 	n/a	..
S0483	I0176	SZEH4	Adelaide	plus	8	LBKT_EN	Szemely-Hegyes	5210-4940 calBCE 	Hungary	46.4	18.74	25605	937	10	63	182088	115858	27.7	0.015	N1a1a1a3	1	"[ 0.9987014,0.9999886 ]"	59	5421708	4218205	3426906	46339	0.038	143	0	0.09	0.12	65	passed	1618	..
S0470	I0212	HQU5	Adelaide	plus	8	Baalberge_MN	Halle-Queis	"3944-3852 calBCE, 3427-3381 calBCE, 3631-3561 calBCE "	Germany	51.48	12.13	12071	118	0	24	270609	164550	24.4	0.027	T2c1d1	0.996	"[ 0.9939036,0.9996951 ]"	55	117656	694	156	143	0.05	0	0	0	0	49	failed 390k QC 	n/a	..
S0468	I0162	OSH1	Adelaide	plus	8	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4625-4250 BCE	Germany	51.67	11.53	2365	294	2	53	79337	65768	18.9	0.02	H16a'c'd	0.999	"[ 0.9965343,0.9998951 ]"	63	7787	822	113	85	0.024	0	0	0	0	48	failed 390k QC 	17	..
S0469	I0163	OSH7	Adelaide	plus	8	R_ssen_EN	"Oberwiederstedt 3, Schrammh_he"	4582-4407 calBCE	Germany	51.66	11.53	2243	414	3	58	155307	127034	18.6	0.012	H5b	0.986	"[ 0.9802802,0.9899152 ]"	58	162570	48402	21001	2458	0.035	4	3	0.01	0.01	55	failed 390k QC 	97	..
S0484	I0177	LGCS2	Adelaide	plus	8	Starcevo_EN	L‡nycs—k-Gata-Csotola	5800-5400 BCE	Hungary	45.99	18.58	14956	46	1	32	194786	102438	5.59	n/a	n/a	n/a	n/a	n/a	676022	347973	289537	6200	0.034	21	0	0.01	0.02	54	failed 390k QC 	6406	..
S0480	I0173	BAM22	Adelaide	plus	8	Starcevo_EN	"Als—ny_k-B‡tasz_k, M_rn_ki telep"	5710-5550 calBCE 	Hungary	46.2	18.7	0	0	0	n/a	140003	63935	4.62	n/a	n/a	n/a	n/a	n/a	379153	167037	155248	6985	0.038	26	0	0.02	0.02	79	failed 390k QC 	n/a	..
S0560	I0560	QLB18A	Adelaide	half	9	Baalberge_MN	Quedlinburg IX	3640-3510 calBCE	Germany	51.79	11.14	869858	549364	3884	71	869858	475028	227	0.116	T2e1	0.999	"[ 0.9972151,0.9999338 ]"	79	5096094	4211166	3023603	203704	0.089	692	1	0.38	0.52	71	passed	133	..
S0550	I0550	KAR22A	Adelaide	half	9	Karsdorf_LN	Karsdorf	2564-2475 cal BCE	Germany	51.273	11.6559	617588	400161	1452	75	617588	352893	197	0.112	T1a1	1	"[ 0.9984478,0.9999861 ]"	82	5188670	4070980	2826737	81576	0.102	278	0	0.17	0.21	70	passed	232	..
S0559	I0559	QLB15D	Adelaide	half	9	Baalberge_MN	Quedlinburg IX	3645-3537 calBCE	Germany	51.79	11.14	368041	212960	400	74	368041	207451	160	0.171	HV6'17	1	"[ 0.9969851,0.9999764 ]"	76	2405922	1526890	1273074	85415	0.165	215	168	0.19	0.22	73	passed	487	..
S0557	I0557	QLB6B	Adelaide	half	9	Baalberge_MN	Quedlinburg VII 2	3950-3400 BCE	Germany	51.78333333	11.13333333	636472	357301	56	66	636472	352247	56.4	0.07	U5b2a2	1	"[ 0.9976794,0.9999778 ]"	66	3244794	1741001	1440063	5065	0.053	6	2	0.01	0.01	66	failed 390k QC 	5044	..
S0549	I0549	BENZ18/BENZ15?	Adelaide	half	9	Bernburg_MN	Benzingerode	3101-2919 calBCE	Germany	51.83	10.86	839316	416781	16	70	839316	414188	51.8	0.118	W1c'i	1	"[ 0.9982395,0.9999883 ]"	74	3240335	1171916	1031683	6880	0.15	10	12	0.01	0.02	62	failed 390k QC 	16702	..
S0552_aL	I0552	SALZ7A	Adelaide	half	9	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3400-3025 BCE	Germany	51.520005	11.852407	177142	138715	12	97	188156	158248	49.6	0.066	H5	0.956	"[ 0.9423236,0.9652677 ]"	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0551_aL	I0551	SALZ3B	Adelaide	half	9	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3400-3025 BCE	Germany	51.520005	11.852407	583105	418368	6445	67	583105	355738	35.5	0.086	U3a1	0.999	"[ 0.9956590,0.9998771 ]"	63	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0548_aL	I0548	BENZ14	Adelaide	half	9	Bernburg_MN	Benzingerode	3104-2919 cal BCE	Germany	51.83	10.86	337651	207912	70	71	337651	204127	31.7	0.099	U5a2b4	1	"[ 0.9972630,0.9999814 ]"	69	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0556_aL	I0556	QLB2A	Adelaide	half	9	Baalberge_MN	Quedlinburg VII 2	3950-3400 BCE	Germany	51.78333333	11.13333333	117304	70328	364	78	297940	236390	28.3	0.083	U8a1	1	"[ 0.9990779,0.9999938 ]"	74	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0554	I0554	SALZ88A	Adelaide	half	9	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3237-3171 calBCE	Germany	51.53	11.8	919282	498705	2	69	919282	496813	22.8	0.051	J1c	1	"[ 0.9990688,0.9999939 ]"	74	3369652	550813	448817	334	0.039	0	1	0	0	55	failed 390k QC 	61221	..
S0558_aL	I0558	QLB8A	Adelaide	half	9	Baalberge_MN	Quedlinburg VII 2	3700-3620 calBCE	Germany	51.78333333	11.13333333	774447	539331	1769	67	774447	428342	8.24	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0555_aL	I0555	SALZ89B	Adelaide	half	9	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3330-3218 cal BCE	Germany	51.520005	11.852407	570938	506446	7073	75	570938	325959	5.25	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0547_aL	I0547	BENZ1	Adelaide	half	9	Bernburg_MN	Benzingerode	3100-2850 BCE	Germany	51.83	10.86	608260	303712	525	56	608260	302143	4.4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0553_aL	I0553	SALZ60A	Adelaide	half	9	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3310-3236 calBCE	Germany	51.520005	11.852407	54159	15180	12	82	104520	30089	0.0682	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0561_aL2	I0561	EBC15189	Adelaide	half	9	..	..	..	..	..	..	62	7	0	53	62	0	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	clean control	n/a	..
S0659	I0659	HAL2	Adelaide	half	10	LBK_EN	Halberstadt-Sonntagsfeld	"5079-4997 calBCE , 5066-4979 calBCE"	Germany	51.89	11.04	667120	406494	3725	63	891477	615905	..	0.194	N1a1a1a2	0.992	"[ 0.9880842,0.9952894 ]"	67	5663851	5114691	2855399	342222	0.115	641	614	0.55	0.87	66	passed	90	..
S0662	I0172	ESP24	Adelaide	half	10	Esperstedt_MN	Esperstedt	3360-3086 calBCE 	Germany	51.42	11.68	n/a	n/a	n/a	n/a	1931421	1122110	1160	0.157	T2b	0.985	"[ 0.9784576,0.9888104 ]"	84	50368706	48129029	21194310	7470866	0.146	1771	1917	0.99	18.97	50	passed	n/a	..
S0664	I0412	Troc5	Adelaide	half	10	Spain_EN	Els Trocs	5310-5206 calBCE	Spain	42.5	0.5	n/a	n/a	n/a	n/a	1803701	769867	822	0.099	N1a1a1	0.996	"[ 0.9921254,0.9976019 ]"	96	23045728	19390956	8072619	2437009	0.135	1321	1352	0.88	6.19	51	passed	n/a	..
S0661	I0103	ESP16	Adelaide	half	10	Corded_Ware_LN	Esperstedt	2566-2477 calBCE 	Germany	51.42	11.68	n/a	n/a	n/a	n/a	1370022	736265	713	0.122	W6a	0.968	"[ 0.9608269,0.9740453 ]"	83	24599461	21534525	10747547	3403865	0.133	1757	1	0.95	8.64	52	passed	n/a	..
S0665	I0412	Troc5	Adelaide	half	10	Spain_EN	Els Trocs	5310-5206 calBCE	Spain	42.5	0.5	n/a	n/a	n/a	n/a	1117353	488735	687	0.104	N1a1a1	0.996	"[ 0.9925749,0.9976539 ]"	91	19499919	16232552	6808858	2364469	0.135	1330	1356	0.88	6	51	passed	n/a	..
S0663	I0172	ESP24	Adelaide	half	10	Esperstedt_MN	Esperstedt	3360-3086 calBCE 	Germany	51.42	11.68	n/a	n/a	n/a	n/a	1586649	892738	686	0.12	T2b	0.959	"[ 0.9487352,0.9659838 ]"	84	32552671	31319256	15135320	4418916	0.114	1733	1823	0.98	11.22	55	passed	n/a	..
S0670	I0061	UzOO74	Adelaide	half	10	Karelia_HG	"Yuzhnyy Oleni Ostrov, Karelia"	5500-5000 BCE	Russia	61.65	35.65	n/a	n/a	n/a	n/a	1467589	905344	637	0.092	C1g	0.996	"[ 0.9931726,0.9980843 ]"	79	2743246	2275503	1168312	523288	0.062	863	819	0.63	1.33	57	passed	n/a	..
S0660	I0103	ESP16	Adelaide	half	10	Corded_Ware_LN	Esperstedt	2566-2477 calBCE 	Germany	51.42	11.68	n/a	n/a	n/a	n/a	1058501	565988	506	0.126	W6a	0.976	"[ 0.9689997,0.9805270 ]"	76	21496863	18903918	8853971	2564121	0.132	1726	2	0.94	6.51	50	passed	n/a	..
S0667	I0408	Mina18	Adelaide	half	10	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	n/a	n/a	n/a	n/a	1513113	614970	407	0.135	pre-U5b1i	0.953	"[ 0.9441260,0.9603407 ]"	77	19508455	13735932	6313401	1629130	0.134	1383	1	0.82	4.14	52	passed	n/a	Manual examination indicates that the apparent signal of mt-DNA contamination is driven by reads aligning to nuclear mitochondrial insertions
S0666	I0408	Mina18	Adelaide	half	10	Spain_MN	La Mina	3900-3600 BCE	Spain	41.2522	-2.32622	n/a	n/a	n/a	n/a	1206977	500168	327	0.127	pre-U5b1i	0.94	"[ 0.9300015,0.9481330 ]"	75	11116022	8228231	3877034	1126614	0.136	1237	2	0.74	2.86	52	passed	n/a	Manual examination indicates that the apparent signal of mt-DNA contamination is driven by reads aligning to nuclear mitochondrial insertions
S0671_iL	I0671	LibraryBlank	Adelaide	half	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	270214	195572	0.499	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	clean control	n/a	..
S0658	I0463	14988EBC	Adelaide	half	10	..	..	..	..	..	..	n/a	n/a	n/a	n/a	17888	0	0	n/a	n/a	n/a	n/a	n/a	94544	34560	9086	11	0.001	0	0	0	0	38	clean control	n/a	..
S0799	I0799	SALZ21B	Adelaide	half	11	Sch_ningen_MN	SalzmŸnde-Schiebzig	4100-3950 BCE	Germany	51.53305556	11.83305556	958250	12340	100	49	..	320185	..	..	H1e	..	..	..	8603574	1967043	1323203	13853	0.069	47	0	0.03	0.04	56	failed 390k QC 	1474	..
S0798	I0798	SALZ18A	Adelaide	half	11	Sch_ningen_MN	SalzmŸnde-Schiebzig	4172-4089 calBCE	Germany	51.53305556	11.83305556	1304152	10445	32	22	812791	583300	405	0.062	H10e'f'g	1	"[ 0.9967937,0.9999499 ]"	84	9553099	593280	291061	4717	0.034	21	0	0.01	0.01	36	failed 390k QC 	1242	..
S0806	I0806	QLB28	Adelaide	half	11	Bell_Beaker_LN	Quedlinburg VII	2296-2206 calBCE	Germany	51.79	11.14	754524	211361	1954	61	611758	386565	268	0.091	H1	0.999	"[ 0.9969754,0.9998347 ]"	73	7086265	3443887	995191	129321	0.075	244	284	0.27	0.33	56	passed	54	..
S0816	I0108	ROT6	Adelaide	half	11	Bell_Beaker_LN	Rothenschirmbach	2497-2436 calBCE 	Germany	51.45	11.54	1106095	460555	3322	57	716789	460447	266	0.096	H5a3	0.997	"[ 0.9931615,0.9986173 ]"	67	1491906	1033297	474667	133746	0.086	501	0	0.28	0.34	57	passed	106	..
S0809	I0046	HAL5	Adelaide	half	11	LBK_EN	Halberstadt-Sonntagsfeld	5206-5004 calBCE 	Germany	51.9	11.05	497583	172218	1721	64	743784	479819	236	0.081	T2c1d'e'f	0.993	"[ 0.9890283,0.9949811 ]"	78	7093596	4440715	1656836	370529	0.063	1030	1	0.56	0.94	60	passed	68	..
S0813	I0059	BZH6	Adelaide	half	11	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2286-2153 calBCE 	Germany	51.82	10.91	673687	10855	73	26	539388	331159	229	0.093	H1/H1b'ad	0.999	"[ 0.9930633,0.9997158 ]"	67	1449027	476380	357880	96944	0.062	383	1	0.21	0.25	71	passed	2279	..
S0803	I0803	EUL41	Adelaide	half	11	Unetice_EBA	Eulau	2115-1996 calBCE	Germany	51.167663	11.847527	832371	319169	2224	46	489989	326404	200	0.114	H4a1a1	0.993	"[ 0.9890610,0.9957563 ]"	63	6945881	4859309	1372025	234775	0.117	714	0	0.42	0.6	45	passed	74	..
S0805	I0805	QLB26	Adelaide	half	11	Bell_Beaker_LN	Quedlinburg VII	2360-2190 calBCE	Germany	51.79166667	11.14722222	1188022	669548	6048	61	530327	395734	199	0.096	H1	0.987	"[ 0.9813846,0.9915544 ]"	64	1771	1460	642	624	0.094	5	1	0	0	68	failed 390k QC 	71	..
S0815	I0111	ROT4	Adelaide	half	11	Bell_Beaker_LN	Rothenschirmbach	2414-2333 calBCE	Germany	51.45	11.54	1404365	271414	1828	47	715050	445582	184	0.057	H3	1	"[ 0.9980852,0.9999872 ]"	70	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0811	I0047	HAL16	Adelaide	half	11	Unetice_EBA	Halberstadt-Sonntagsfeld	2022-1937 calBCE 	Germany	51.89	11.04	701875	373097	2729	51	544601	319348	154	0.122	V	1	"[ 0.9967931,0.9999728 ]"	60	2031309	1464192	422505	111500	0.125	425	0	0.24	0.28	48	passed	53	..
S0800	I0800	SALZ57A	Adelaide	half	11	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3334-3262 calBCE	Germany	51.53305556	11.83305556	676788	3697	16	23	679649	421046	153	0.072	H3	1	"[ 0.9981170,0.9999871 ]"	69	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0795	I0795	KAR6	Adelaide	half	11	LBK_EN	Karsdorf	5207-5070 calBCE	Germany	51.273	11.6559	884231	90442	764	53	536561	370568	151	0.092	H1	0.982	"[ 0.9749722,0.9867929 ]"	63	2031518	1043356	553314	62268	0.08	111	121	0.14	0.16	55	passed	315	..
S0821	I0821	HAL24	Adelaide	half	11	LBK_EN	Halberstadt-Sonntagsfeld	5034-4942 calBCE	Germany	51.89583333	11.04666667	602355	80567	654	61	346347	236123	136	0.1	pre-X2d1	0.995	"[ 0.9910107,0.9972221 ]"	62	11983456	6003323	3406373	79015	0.069	155	175	0.17	0.2	58	passed	262	..
S0804	I0804	EUL57	Adelaide	half	11	Unetice_EBA	Eulau	2131-1982 calBCE	Germany	51.167663	11.847527	745138	40102	265	44	618793	357769	131	0.077	H3	0.987	"[ 0.9797656,0.9927128 ]"	65	997306	359867	200626	28439	0.1	50	72	0.07	0.07	49	passed	566	..
S0797	I0797	KAR16A	Adelaide	half	11	LBK_EN	Karsdorf	5500-4775 BCE	Germany	51.28305556	11.65	977530	55864	451	48	518574	362072	123	0.07	H46b	1	"[ 0.9969879,0.9999719 ]"	65	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0812	I0058	BZH4	Adelaide	half	11	BenzigerodeHeimburg_LN	Benzingerode-Heimburg	2283-2146 calBCE 	Germany	51.82	10.91	1261021	49830	301	39	683656	446292	117	0.098	H1e	1	"[ 0.9961541,0.9999822 ]"	55	1490090	819288	494594	96008	0.11	316	0	0.2	0.24	49	passed	1391	..
S0796	I0796	KAR11B	Adelaide	half	11	LBK_EN	Karsdorf	5500-4775 BCE	Germany	51.28305556	11.65	695114	17538	101	47	429318	292353	112	0.094	H	0.961	"[ 0.9490892,0.9695248 ]"	65	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0817	I0114	ESP2	Adelaide	half	11	Unetice_EBA_relative_of_I0117	Esperstedt	2131-1979 calBCE 	Germany	51.42	11.68	437134	91178	684	54	534296	385627	96.3	0.048	I3a	1	"[ 0.9984617,0.9999883 ]"	65	969333	634699	374978	25360	0.062	61	57	0.06	0.06	60	passed	247	..
S0819	I0117	ESP29	Adelaide	half	11	Unetice_EBA	Esperstedt	2199-2064 calBCE 	Germany	51.42	11.68	872273	379216	2485	45	751677	480806	93.8	0.119	I3a	0.97	"[ 0.9632835,0.9758637 ]"	52	1811490	1311872	574589	159514	0.092	581	1	0.32	0.41	48	passed	111	..
S0822	I0822	HQU3	Adelaide	half	11	Baalberge_MN	Halle-Queis	3630-3581 calBCE	Germany	51.47583333	12.13388889	549089	19698	91	45	854309	599919	80.1	0.146	K1e	1	"[ 0.9975048,0.9999465 ]"	45	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
S0802	I0802	SALZ77A	Adelaide	half	11	SalzmŸnde_MN	SalzmŸnde-Schiebzig	3400-3025 BCE	Germany	51.53305556	11.83305556	1125382	14245	84	42	583898	387580	73.4	0.142	H3	0.99	"[ 0.9836248,0.9932273 ]"	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed screening	n/a	..
